Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Description,Private Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description.1,Private Notes.1,Tags
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,Closet Rod Brackets,0.0,19.98,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of closet Rod brackets.,----,----,----,----,----,----,Everbilt 2.68 in. Heavy-Duty Brushed Nickel Closet Rod Pole Sockets (2-Pack),490170.0,1.0,each (each),8.98,0.0,----,https://www.homedepot.com/p/Everbilt-2-68-in-Heavy-Duty-Brushed-Nickel-Closet-Rod-Pole-Sockets-2-Pack-EH-WSTHDUS-324/300262700,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Bifold Doors Install/Replace,0.0,332.7,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of bifold closet doors,----,----,----,----,----,----,JELD-WEN 48 in. x 80 in. 6 Panel Colonist Primed Textured Molded Composite MDF Closet Bi-Fold Double Door,311607.0,1.0,each (each),278.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-48-in-x-80-in-6-Panel-Colonist-Primed-Textured-Molded-Composite-MDF-Closet-Bi-Fold-Double-Door-THDJW160600153/202037494,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,CLOSET - Closet Rod - Replace,0.0,59.98,----,25.0,0,----,----,----,----,----,Each (Ea),Replace/install closet rod with appropriate supports,Cost Codes for Interior Carpentry Work,----,----,----,----,----,Everbilt 8 ft. Oak Closet Pole,315788.0,1.0,each (each),31.23,0.0,----,https://www.homedepot.com/p/Everbilt-8-ft-Oak-Closet-Pole-65430/300722708,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,CLOSET - Wood Shelving - Replace,0.0,76.98,----,52.0,0,----,----,----,----,----,Each (Ea),Replace/install wood shelving as specified and paint as needed,Cost Codes for Interior Carpentry Work,----,----,----,----,----,ClosetMaid Selectives 48 in. White Laminate Wall Mounted Shelf,225452.0,1.0,each (each),21.98,0.0,----,https://www.homedepot.com/p/ClosetMaid-Selectives-48-in-White-Laminate-Wall-Mounted-Shelf-7034/100597844,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (ByPass),0.0,51.27,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Prime-Line Bypass Closet Door Track Kit,1000751567.0,1.0,each (each),25.66,0.0,----,https://www.homedepot.com/p/Prime-Line-Bypass-Closet-Door-Track-Kit-163590/203588785,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (Sliding),0.0,34.93,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 48 in. Sliding Door Set,831387.0,1.0,each (each),12.27,0.0,----,https://www.homedepot.com/p/Everbilt-48-in-Sliding-Door-Set-18396/202041870,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (BiFold),0.0,40.93,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 36 in. Bi-Fold Door Hardware Set with Galvanized Track,824348.0,1.0,each (each),20.93,0.0,----,https://www.homedepot.com/p/Everbilt-36-in-Bi-Fold-Door-Hardware-Set-with-Galvanized-Track-18401/202034320,----
Interior Overall:,Living Room,Site Specific Drywall Repair & Paint Refesh,----,----,PAINT-Refresh Per Area,0.0,1,----,0.0,0,----,----,----,----,----,Square Feet (SF),Color Match Paint Refresh-Specific wall only,----,(null),----,----,----,----,BEHR PREMIUM PLUS Ultra-Pure-White,928046.0,1.0,gallon (gallon),39.98,0.05,----,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-1-gal-Ultra-Pure-White-Semi-Gloss-Enamel-Low-Odor-Interior-Paint-Primer-305001/202761530,----
Interior Overall:,Living Room,Site Specific Drywall Repair & Paint Refesh,----,----,DRYWALL - Repair Per Area (Minor),0.0,50,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo, Patch, Prep..
Tape, Sand & Mud 
Damaged areas of Drywall.",----,----,----,----,----,----,USG Sheetrock Brand 1/2 in. x 23-5/8 in. x 23-5/8 in. Patch and Repair Drywall,159495.0,1.0,each (each),6.63,0.0,----,https://www.homedepot.com/p/USG-Sheetrock-Brand-1-2-in-x-23-5-8-in-x-23-5-8-in-Patch-and-Repair-Drywall-141133/202353426,----
Interior Overall:,Living Room,Site Specific Drywall Repair & Paint Refesh,----,----,DRYWALL - Repair Per Area (Major),0.0,80,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo, Patch, Prep..
Tape, Sand & Mud 
Damaged areas of Drywall.",----,----,----,----,----,----,USG Sheetrock Brand 1/2 in. x 23-5/8 in. x 23-5/8 in. Patch and Repair Drywall,159495.0,1.0,each (each),6.63,0.0,----,https://www.homedepot.com/p/USG-Sheetrock-Brand-1-2-in-x-23-5-8-in-x-23-5-8-in-Patch-and-Repair-Drywall-141133/202353426,----
Interior Overall:,Living Room,Flooring,Flooring Accessories,----,FLOORING - Transition Strip - Install/Replace,0.0,23.97,----,0.0,0,----,----,----,----,----,Each (Ea),36 in. x 1-3/8 in,----,----,----,----,----,----,TrafficMaster Silver Fluted 36 in. x 1-3/8 in. Carpet Trim,420004.0,1.0,each (each),8.97,0.0,----,https://www.homedepot.com/p/TrafficMaster-Silver-Fluted-36-in-x-1-3-8-in-Carpet-Trim-18562/100354272,----
Interior Overall:,Living Room,Flooring,Flooring Accessories,----,HVAC - Floor Register - Replace,0.0,19.09,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 10 in. x 6 in. 2-Way Steel Wall/Ceiling Register in White,320451.0,1.0,each (each),14.67,0.0,----,https://www.homedepot.com/p/Everbilt-10-in-x-6-in-2-Way-Steel-Wall-Ceiling-Register-in-White-E102M10X06/300539476,----
Interior Overall:,Living Room,Flooring,Carpet:,----,FLOORING - DEMO - Carpet Demo,0.0,225,----,0.0,0,----,----,----,----,----,Each (Ea),Carpet Demo - Remove carpet prior to paint and haul in specified locations.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,Flooring,Carpet:,----,Install Carpet,0.0,1.1,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace any broken tack strips, install carpet and pad.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,Flooring,Floor Base & Shoe,----,Replace quarter round/shoe modling,0.0,1.17,----,0.0,0,----,----,----,----,----,Linear Feet (LF),Replace/install quarter round/shoe molding in specified area(s) in all areas where LVP is installed.,Cost Codes for Interior Carpentry Work,----,----,----,----,----,Alexandria Moulding WM 105 3/4 in. x 3/4 in. Pine Quarter Round Molding,419011.0,1.0,linear feet (linear feet),1.17,0.0,----,https://www.homedepot.com/p/Alexandria-Moulding-WM-105-3-4-in-x-3-4-in-Pine-Quarter-Round-Molding-WM105-920RLC/100083865,----
Interior Overall:,Living Room,Flooring,Floor Base & Shoe,----,Replace molding,0.0,1.85,----,0.0,0,----,----,----,----,----,Linear Feet (LF),Replace 5 1/4 in baseboard where needed.,----,----,----,----,----,----,Alexandria Moulding LWM163E 1/2 in. x 5-1/4 in. x 12 ft. Primed Finger-Jointed Poplar Wood Baseboard Moulding,800384.0,1.0,piece (piece),37.07,0.05,----,https://www.homedepot.com/p/Alexandria-Moulding-LWM163E-1-2-in-x-5-1-4-in-x-12-ft-Primed-Finger-Jointed-Poplar-Wood-Baseboard-Moulding-L163F-97144C/206013277,----
Interior Overall:,Living Room,Flooring,Tile Floors,----,"Flooring, Tile wall, replace, standard grade",0.0,21.12,----,----,----,----,----,----,----,----,Square Feet (SF),"Includes tile, grout, mortar, and installation. Allowances for typical grades of tile used in residential and light commercial structures.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,Flooring,Tile Floors,----,"Tile, Tile backerboard, Using 1/2"" backerboard, per 100 SF",0.0,99.96,----,0.0,0,----,----,----,----,----,100 Square Feet (CSF) (CSF),"(Durock(tm) or Wonderboard(tm)).  Water-resistant underlayment for ceramic tile on floors, walls, countertops and other interior wet areas. Material cost for 100 square feet",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,Flooring,Hard Woods,----,FLOORING - Hardwoods Refinish,0.0,2.92,----,0.0,0,----,----,----,----,----,Each (Ea),Sand and refinish hardwoods. PER SQFT,----,----,----,----,----,----,Varathane 1 qt. Clear Satin Water-Based Interior Polyurethane,420301.0,1.0,each (each),23.97,0.0,----,https://www.homedepot.com/p/Varathane-1-qt-Clear-Satin-Water-Based-Interior-Polyurethane-200241H/100169146,----
Interior Overall:,Living Room,Flooring,LVP,----,LVP Floor Prep,0.0,1.24,----,0.0,0,----,----,----,----,----,Each (Ea),Install underlayment and floor lever where needed to prepare surface for LVP.,----,----,----,----,----,----,TrafficMaster Standard 100 sq. ft. Rolls 25 ft. x 4 ft. x .080 in. Polyethylene Foam 2-in-1 Underlayment,1000003922.0,1.0,roll (roll),49.0,0.0,----,https://www.homedepot.com/p/TrafficMaster-Standard-100-sq-ft-Rolls-25-ft-x-4-ft-x-080-in-Polyethylene-Foam-2-in-1-Underlayment-100779555/203956730,----
Interior Overall:,Living Room,Flooring,LVP,----,FLOORING - LVP flooring Install/Replace,0.0,3.45,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace/install Luxury Vinyl Plank, flooring Square footage includes closets.",----,----,----,----,----,----,MSI Woodland Centennial Ash 7.13 in. W x 48.03 in. L Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.8 sq. ft./case),1003837462.0,1.0,case (case),56.33,0.0,----,https://www.homedepot.com/p/MSI-Woodland-Centennial-Ash-7-13-in-W-x-48-03-in-L-Rigid-Core-Click-Lock-Luxury-Vinyl-Plank-Flooring-23-8-sq-ft-case-HD-LVR5012-0009/307423378,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Smokes & Accessories,----,Smoke Battery,0.0,6.89,----,0.0,0,----,----,----,----,----,Each (Ea),Install  smoke battery,----,----,----,----,----,----,Kidde AA Smoke Detector Replacement Batteries,1001320873.0,1.0,bundle (bundle),6.34,0.0,----,https://www.homedepot.com/p/Kidde-AA-Smoke-Detector-Replacement-Batteries-21026968/205976053,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Smokes & Accessories,----,Wired Smoke Detector,0.0,37.47,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Wired smoke Detector.,----,(null),----,----,----,----,"Kidde 10 Year Worry-Free Smoke Detector, Hardwired with 10 Year Battery Backup, Smoke Alarm",1000392327.0,1.0,each (each),29.97,0.0,----,https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Smoke-Detector-Hardwired-with-10-Year-Battery-Backup-Smoke-Alarm-21029878/205422307,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Smokes & Accessories,----,Combo Detector,0.0,72.47,----,0.0,0,----,----,----,----,----,Each (Ea),Install Combo Detector in Proper Location,----,(null),----,----,----,----,"Kidde 10-Year Worry Free Smoke & Carbon Monoxide Detector, Lithium Battery Powered with Photoelectric Sensor and Voice Alarm",1001262578.0,1.0,each (each),59.97,0.0,----,https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Smoke-Carbon-Monoxide-Detector-Lithium-Battery-Powered-with-Photoelectric-Sensor-and-Voice-Alarm-21030866/205842861,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Smokes & Accessories,----,ELECTRICAL - Detector - Smoke (Battery),0.0,32.47,----,0.0,0,----,----,----,----,----,Each (Ea),Install battery powered smoke detector.,----,(null),----,----,----,----,Kidde 10 Year Worry-Free Sealed Battery Smoke Detector with Photoelectric Sensor,144239.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Sealed-Battery-Smoke-Detector-with-Photoelectric-Sensor-21029618/203525026,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,Install Fan with LED 5000K,0.0,170,----,0.0,0,----,----,----,----,----,Each (Ea),Install Ceiling Fan with light.,----,----,----,----,----,----,Hugger 52 in. LED Gunmetal Ceiling Fan,1003023403.0,1.0,each (each),59.97,0.0,----,https://www.homedepot.com/p/Hugger-52-in-LED-Gunmetal-Ceiling-Fan-AL383LED-GM/304542817,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,Install LED Can light,0.0,46.97,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,"Halo RL 5 in. and 6 in. 2700K-5000K White Integrated LED Recessed Ceiling Light Trim at Selectable CCT, (665 Lumens)",1003021686.0,1.0,each (each),21.97,0.0,----,https://www.homedepot.com/p/Halo-RL-5-in-and-6-in-2700K-5000K-White-Integrated-LED-Recessed-Ceiling-Light-Trim-at-Selectable-CCT-665-Lumens-RL56069S1EWHR/304533541,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,Replace Pull Chain Light fixture,0.0,25.98,----,0.0,0,----,----,----,----,----,Each (Ea),Install new pull chain light,----,----,----,----,----,----,Leviton Glazed Porcelain Lamp Holder with Pull Chain and Outlet,661822.0,1.0,each (each),6.58,0.0,----,https://www.homedepot.com/p/Leviton-Glazed-Porcelain-Lamp-Holder-with-Pull-Chain-and-Outlet-R60-09726-00C/100357030,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,ELECTRICAL - LIGHTING - Dome Light - Install,0.0,46.08,----,----,----,----,----,----,----,----,Each (Ea),"13"" - 2 light dome. SONOMA‚ FLUSH MOUNT BRUSHED NICKEL, 13-1/4 IN.",----,----,----,----,----,----,Design House Bristol 2-Light Satin Nickel Dome Ceiling Semi Flush Mount Light,1005758722.0,1.0,each (each),31.08,0.0,----,https://www.homedepot.com/p/Design-House-Bristol-2-Light-Satin-Nickel-Dome-Ceiling-Semi-Flush-Mount-Light-510297/202500671,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,LED Pancake Light,0.0,51.97,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of surface mount led flat dome.,----,----,----,----,----,----,Hampton Bay Flaxmere 12 in. Brushed Nickel Dimmable LED Flush Mount Ceiling Light with Frosted White Glass Shade,1000053230.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Flaxmere-12-in-Brushed-Nickel-Dimmable-LED-Flush-Mount-Ceiling-Light-with-Frosted-White-Glass-Shade-HB1023C-35/310700106,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,Interior Wall Sconce,0.0,33.97,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Interior Wall Sconce. (Light only no bulb),----,----,----,----,----,----,Ashurst 1-Light Brushed Nickel Wall Sconce with Switch,1007175043.0,1.0,each (each),18.97,0.0,----,https://www.homedepot.com/p/Ashurst-1-Light-Brushed-Nickel-Wall-Sconce-with-Switch-JIB8401AX-02-BN/319386205,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,ELECTRICAL - LIGHTING - Vanity light (Standard),0.0,49.97,----,0.0,0,----,----,----,----,----,Each (Ea),Install new vanity light--Hampton Bay 3-Light Brushed Nickel Vanity Light with Frosted Shades,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Model#  HB2076-35,----,----,----,----,----,----,Hampton Bay Raceway 24 in. 4-Light Brushed Nickel Retro Bathroom Vanity Light,108898.0,1.0,each (each),19.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Raceway-24-in-4-Light-Brushed-Nickel-Retro-Bathroom-Vanity-Light-HB2051-35/202022451,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Fixtures,ELECTRICAL - LIGHTING - Vanity light (Upgrade),0.0,89.97,----,0.0,0,----,----,----,----,----,Each (Ea),Install new vanity light--Hampton Bay 3-Light Brushed Nickel Vanity Light with Frosted Shades,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Model#  HB2076-35,----,----,----,----,----,----,Hampton Bay Tavish 24 in. 3-Light Brushed Nickel Classic Bathroom Vanity Light with Frosted Shades,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
(Upgrade),261370,1,each (each),39.97,0,----,https://www.homedepot.com/p/Hampton-Bay-Tavish-24-in-3-Light-Brushed-Nickel-Classic-Bathroom-Vanity-Light-with-Frosted-Shades-HB2076-35/202352121,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,Candle Style LED. (3 pack),0.0,15.95,----,0.0,0,----,----,----,----,----,Each (Ea),Candle style 5000k LED,----,----,----,----,----,----,EcoSmart 60-Watt Equivalent B11 Blunt Tip Dimmable Candle Medium Base Clear Glass LED Vintage Edison Light Bulb Daylight (3-Pack),1006265445.0,1.0,each (each),11.98,0.0,----,https://www.homedepot.com/p/EcoSmart-60-Watt-Equivalent-B11-Blunt-Tip-Dimmable-Candle-Medium-Base-Clear-Glass-LED-Vintage-Edison-Light-Bulb-Daylight-3-Pack-FG-04191/316021864,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,ELECTRICAL - LIGHTING -LED Flood,0.0,13.18,----,5.0,0,----,----,----,----,----,Each (Ea),Replace Bulb LED,Cost Codes for Lighting,(null),----,----,----,----,EcoSmart 120-Watt Equivalent PAR38 Dimmable Energy Star Flood LED Light Bulb Bright White (2-Pack),1001654080.0,0.5,each (each),16.11,0.0,----,https://www.homedepot.com/p/EcoSmart-120-Watt-Equivalent-PAR38-Dimmable-Energy-Star-Flood-LED-Light-Bulb-Bright-White-2-Pack-B7PR38P120ESD01/303574492,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,Large LED  Vanity Light,0.0,11.55,----,0.0,0,----,----,----,----,----,Each (Ea),Replace Vanity Light Bulbs With 5000k LED.,----,----,----,----,----,----,Cree 100W Equivalent Daylight (5000K) BR30 Dimmable Exceptional Light Quality LED Light Bulb,1003005626.0,1.0,each (each),9.55,0.0,----,https://www.homedepot.com/p/Cree-100W-Equivalent-Daylight-5000K-BR30-Dimmable-Exceptional-Light-Quality-LED-Light-Bulb-TBR30-14050FLFH25-12DE26-1-11/304006402,----
Interior Overall:,Living Room,Interior Electrical & Lighting,Lighting:,Bulbs & Accessories,ELECTRICAL - LIGHTING - LED BULB,0.0,11.76,----,0.0,0,----,----,----,----,----,Each (Ea),Instal 5000k LED 100 watt equivalent bulb.,----,----,----,----,----,----,Philips 60-Watt Equivalent A19 Non-Dimmable E26 LED Light Bulb Daylight 5000K (4-Pack),1008433911.0,1.0,set (set),10.86,0.0,----,https://www.homedepot.com/p/Philips-60-Watt-Equivalent-A19-Non-Dimmable-E26-LED-Light-Bulb-Daylight-5000K-4-Pack-565481/321121514,----
